date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-03-05,EgyptAir,EG4295,Dubai,Cairo,UAE,Egypt,Boeing 787-10 Dreamliner,294,Insurance restriction — war zone
2026-03-05,Emirates SkyCargo,EM2859,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-10 Dreamliner,148,Diplomatic advisory — do not fly
2026-03-06,FedEx Express,FE3467,Delhi,Dubai,India,UAE,Airbus A320neo,161,Airport closure — military activity
2026-03-06,Pakistan International Airlines,PA5693,Tehran,Moscow,Iran,Russia,Airbus A350-900,414,Crew safety — company policy
2026-03-06,Ethiopian Airlines,ET4996,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A380-800,193,Fuel supply disruption
2026-03-06,Thai Airways,TH7414,Doha,Paris,Qatar,France,Airbus A320neo,275,Fuel supply disruption
2026-03-06,FedEx Express,FE455,Dubai,Amman,UAE,Jordan,Boeing 737 MAX 8,446,Government travel ban
2026-03-06,Kuwait Airways,KU308,Abu Dhabi,Washington,UAE,USA,Airbus A380-800,336,Airport closure — military activity
2026-03-06,IndiGo,IN7149,Moscow,Tehran,Russia,Iran,Airbus A340-600,111,Airport closure — military activity
2026-03-06,Turkish Airlines,TU6893,New York,Doha,USA,Qatar,Airbus A330-300,327,Government travel ban
2026-03-06,Pakistan International Airlines,PA6503,Karachi,Istanbul,Pakistan,Turkey,Boeing 787-9 Dreamliner,396,Government travel ban
2026-03-06,Mahan Air,MA6092,Paris,Doha,France,Qatar,Airbus A380-800,284,Crew safety — company policy
2026-03-06,Emirates,EM162,Lahore,Doha,Pakistan,Qatar,Airbus A380-800,245,Insurance restriction — war zone
2026-03-06,Turkish Airlines,TU4311,Mumbai,Dubai,India,UAE,Boeing 777-200LR,87,Airspace closure — NOTAM
2026-03-06,Cathay Pacific,CA2564,Istanbul,Tehran,Turkey,Iran,Boeing 787-10 Dreamliner,290,Government travel ban
2026-03-06,Iran Air,IR5324,Tehran,Beijing,Iran,China,Airbus A321neo,90,Government travel ban
2026-03-06,American Airlines,AM4972,Frankfurt,Dubai,Germany,UAE,Boeing 737-800,308,Diplomatic advisory — do not fly
2026-03-06,flydubai,FL9230,New York,Doha,USA,Qatar,Boeing 777-200LR,131,Diplomatic advisory — do not fly
2026-03-06,Air France,AI6454,New York,Doha,USA,Qatar,Boeing 777-300ER,177,Airspace closure — NOTAM
2026-03-06,flydubai,FL9371,Dubai,Islamabad,UAE,Pakistan,Airbus A380-800,225,Security risk — conflict zone
2026-03-06,Air France,AI283,Istanbul,Delhi,Turkey,India,Boeing 737-800,185,Security risk — conflict zone
2026-03-06,Air Arabia,AI8836,Paris,Dubai,France,UAE,Airbus A330-300,384,Airspace closure — NOTAM
2026-03-06,Singapore Airlines,SI5089,Riyadh,London,Saudi Arabia,UK,Airbus A320neo,375,Fuel supply disruption
2026-03-06,Iran Air,IR2945,Doha,Lahore,Qatar,Pakistan,Airbus A330-300,122,Insurance restriction — war zone
2026-03-06,Air France,AI8394,Washington,Abu Dhabi,USA,UAE,Boeing 737 MAX 8,249,Government travel ban
2026-03-06,Malaysia Airlines,MA4316,Tehran,Beijing,Iran,China,Boeing 777-300ER,185,Crew safety — company policy
2026-03-06,Qatar Airways,QA7384,Dubai,New York,UAE,USA,Boeing 737 MAX 8,444,Fuel supply disruption
2026-03-06,IndiGo,IN9350,Dubai,Bahrain,UAE,Bahrain,Airbus A320neo,264,Crew safety — company policy
2026-03-06,Etihad Airways,ET6807,Doha,London,Qatar,UK,Airbus A330-300,173,Security risk — conflict zone
2026-03-06,EgyptAir,EG5518,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737 MAX 8,125,Crew safety — company policy
2026-03-06,flydubai,FL7427,London,Riyadh,UK,Saudi Arabia,Boeing 777-200LR,217,Security risk — conflict zone
2026-03-06,Jazeera Airways,JA3714,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,195,Airport closure — military activity
2026-03-06,Singapore Airlines,SI6911,Muscat,London,Oman,UK,Airbus A380-800,82,Fuel supply disruption
2026-03-06,Qatar Airways,QA642,London,Dubai,UK,UAE,Airbus A321neo,229,Airport closure — military activity
2026-03-06,Saudi Arabian Airlines,SA1228,Singapore,London,Singapore,UK,Boeing 777-200LR,221,Fuel supply disruption
2026-03-06,Ethiopian Airlines,ET1923,Tehran,Beijing,Iran,China,Boeing 737-800,438,Government travel ban
2026-03-06,Thai Airways,TH834,Dubai,Islamabad,UAE,Pakistan,Airbus A350-900,315,Insurance restriction — war zone
2026-03-06,IndiGo,IN875,Doha,New York,Qatar,USA,Boeing 787-9 Dreamliner,229,Diplomatic advisory — do not fly
2026-03-06,Malaysia Airlines,MA2803,Tehran,Beijing,Iran,China,Airbus A340-600,362,Airport closure — military activity
2026-03-06,Cathay Pacific,CA8636,Karachi,Istanbul,Pakistan,Turkey,Airbus A330-300,219,Government travel ban
2026-03-06,Lufthansa,LU9577,Kuwait City,Cairo,Kuwait,Egypt,Boeing 737-800,448,Crew safety — company policy
2026-03-06,Kuwait Airways,KU7878,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,272,Crew safety — company policy
2026-03-06,Etihad Airways,ET1250,Dubai,Karachi,UAE,Pakistan,Boeing 737 MAX 8,311,Security risk — conflict zone
2026-03-07,IndiGo,IN3809,Dubai,Mumbai,UAE,India,Airbus A320neo,399,Insurance restriction — war zone
2026-03-07,Qatar Airways,QA1575,Abu Dhabi,Washington,UAE,USA,Boeing 777-200LR,419,Diplomatic advisory — do not fly
2026-03-07,Iran Air,IR8266,Dubai,Frankfurt,UAE,Germany,Airbus A380-800,292,Airspace closure — NOTAM
2026-03-07,Iran Air,IR2055,Islamabad,Riyadh,Pakistan,Saudi Arabia,Boeing 787-9 Dreamliner,246,Crew safety — company policy
2026-03-07,British Airways,BR1626,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737 MAX 8,185,Security risk — conflict zone
2026-03-07,KLM,KL6730,Istanbul,Dubai,Turkey,UAE,Airbus A350-900,285,Fuel supply disruption
2026-03-07,Malaysia Airlines,MA7823,Karachi,Istanbul,Pakistan,Turkey,Boeing 787-9 Dreamliner,149,Government travel ban
2026-03-07,Delta Air Lines,DE8308,London,Bahrain,UK,Bahrain,Airbus A320neo,159,Government travel ban
2026-03-07,Iran Air,IR7538,London,Bahrain,UK,Bahrain,Boeing 737-800,114,Crew safety — company policy
2026-03-07,Etihad Airways,ET3209,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A380-800,229,Airport closure — military activity
2026-03-07,IndiGo,IN5758,Karachi,Istanbul,Pakistan,Turkey,Airbus A330-300,181,Airport closure — military activity
2026-03-07,Air France,AI4005,London,Bahrain,UK,Bahrain,Boeing 737-800,225,Fuel supply disruption
2026-03-07,United Airlines,UN8357,London,Muscat,UK,Oman,Airbus A350-900,169,Airport closure — military activity
2026-03-07,EgyptAir,EG6029,Paris,Dubai,France,UAE,Boeing 787-9 Dreamliner,106,Airspace closure — NOTAM
2026-03-07,Gulf Air,GU2676,Abu Dhabi,Sydney,UAE,Australia,Boeing 777-300ER,178,Airspace closure — NOTAM
2026-03-07,Oman Air,OM8893,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,225,Government travel ban
2026-03-07,United Airlines,UN5252,Tehran,Moscow,Iran,Russia,Boeing 737-800,192,Airport closure — military activity
2026-03-07,flydubai,FL2921,Moscow,Tehran,Russia,Iran,Boeing 777-300ER,138,Airport closure — military activity
2026-03-07,FedEx Express,FE722,Islamabad,Dubai,Pakistan,UAE,Boeing 777-200LR,241,Crew safety — company policy
2026-03-07,American Airlines,AM9794,Cairo,Dubai,Egypt,UAE,Boeing 777-200LR,142,Government travel ban
2026-03-07,Air Arabia,AI2148,London,Singapore,UK,Singapore,Airbus A330-300,272,Fuel supply disruption
2026-03-07,Oman Air,OM2646,Doha,New York,Qatar,USA,Boeing 787-10 Dreamliner,256,Airspace closure — NOTAM
2026-03-07,Malaysia Airlines,MA5913,Mumbai,Dubai,India,UAE,Airbus A330-300,258,Crew safety — company policy
2026-03-07,Iran Air,IR5633,Doha,Paris,Qatar,France,Boeing 777-300ER,408,Diplomatic advisory — do not fly
2026-03-07,Qatar Airways,QA883,Los Angeles,Doha,USA,Qatar,Boeing 787-9 Dreamliner,208,Diplomatic advisory — do not fly
2026-03-07,Air France,AI295,Paris,Dubai,France,UAE,Airbus A340-600,86,Security risk — conflict zone
2026-03-07,Turkish Airlines,TU9639,Dubai,Sydney,UAE,Australia,Boeing 737-800,390,Airspace closure — NOTAM
2026-03-07,Thai Airways,TH4526,Beirut,Paris,Lebanon,France,Boeing 777-300ER,430,Government travel ban
2026-03-07,Jazeera Airways,JA7700,Dubai,Bahrain,UAE,Bahrain,Airbus A330-300,292,Airport closure — military activity
2026-03-07,Turkish Airlines,TU3640,Paris,Doha,France,Qatar,Airbus A350-900,262,Government travel ban
2026-03-07,Gulf Air,GU1698,Dubai,Amman,UAE,Jordan,Airbus A330-300,405,Airport closure — military activity
2026-03-07,Cathay Pacific,CA627,Dubai,Paris,UAE,France,Boeing 737 MAX 8,206,Airspace closure — NOTAM
2026-03-07,Saudi Arabian Airlines,SA3186,Dubai,Amman,UAE,Jordan,Boeing 737-800,147,Airport closure — military activity
2026-03-07,Saudi Arabian Airlines,SA2966,Los Angeles,Doha,USA,Qatar,Boeing 777-300ER,418,Crew safety — company policy
2026-03-08,FedEx Express,FE7867,Dubai,Amman,UAE,Jordan,Boeing 787-10 Dreamliner,377,Airport closure — military activity
2026-03-08,Delta Air Lines,DE6073,Delhi,Dubai,India,UAE,Boeing 737-800,334,Airspace closure — NOTAM
2026-03-08,Singapore Airlines,SI3900,Istanbul,Tehran,Turkey,Iran,Airbus A330-300,185,Fuel supply disruption
2026-03-08,flydubai,FL5482,Dubai,Islamabad,UAE,Pakistan,Airbus A350-900,195,Fuel supply disruption
2026-03-08,Emirates SkyCargo,EM7866,Mumbai,Doha,India,Qatar,Boeing 777-300ER,156,Government travel ban
2026-03-08,Thai Airways,TH1032,Dubai,New York,UAE,USA,Boeing 737-800,430,Insurance restriction — war zone
2026-03-08,Etihad Airways,ET3308,Doha,Los Angeles,Qatar,USA,Airbus A321neo,218,Airport closure — military activity
2026-03-08,Air Arabia,AI9971,Dubai,London,UAE,UK,Airbus A321neo,237,Airport closure — military activity
2026-03-08,Air Arabia,AI6137,Dubai,Delhi,UAE,India,Airbus A350-900,380,Security risk — conflict zone
2026-03-08,Saudi Arabian Airlines,SA4275,Dubai,Karachi,UAE,Pakistan,Boeing 787-10 Dreamliner,120,Fuel supply disruption
2026-03-08,American Airlines,AM7070,Delhi,Istanbul,India,Turkey,Airbus A320neo,438,Insurance restriction — war zone
2026-03-08,Malaysia Airlines,MA2262,Dubai,Sydney,UAE,Australia,Boeing 777-300ER,358,Airspace closure — NOTAM
2026-03-08,Etihad Airways,ET679,Dubai,Islamabad,UAE,Pakistan,Airbus A340-600,144,Security risk — conflict zone
2026-03-08,British Airways,BR1701,Los Angeles,Doha,USA,Qatar,Boeing 777-300ER,129,Fuel supply disruption
2026-03-08,EgyptAir,EG5245,Riyadh,London,Saudi Arabia,UK,Boeing 777-300ER,296,Diplomatic advisory — do not fly
2026-03-08,British Airways,BR5680,London,Doha,UK,Qatar,Boeing 787-9 Dreamliner,418,Security risk — conflict zone
2026-03-08,Jazeera Airways,JA835,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,150,Diplomatic advisory — do not fly
2026-03-08,Lufthansa,LU819,Paris,Dubai,France,UAE,Airbus A380-800,439,Fuel supply disruption
2026-03-08,United Airlines,UN6997,Dubai,Istanbul,UAE,Turkey,Boeing 787-10 Dreamliner,192,Insurance restriction — war zone
2026-03-08,Malaysia Airlines,MA7002,Dubai,Delhi,UAE,India,Boeing 737 MAX 8,299,Diplomatic advisory — do not fly
2026-03-08,Etihad Airways,ET6816,Beijing,Tehran,China,Iran,Boeing 787-9 Dreamliner,351,Fuel supply disruption
2026-03-08,Turkish Airlines,TU9312,Karachi,Dubai,Pakistan,UAE,Boeing 787-9 Dreamliner,358,Security risk — conflict zone
2026-03-08,Ethiopian Airlines,ET8045,Amman,Dubai,Jordan,UAE,Boeing 777-300ER,249,Airspace closure — NOTAM
2026-03-08,Air India,AI853,Bahrain,London,Bahrain,UK,Boeing 777-300ER,314,Airport closure — military activity
2026-03-08,Saudi Arabian Airlines,SA2384,Delhi,Istanbul,India,Turkey,Boeing 777-200LR,336,Security risk — conflict zone
2026-03-08,Thai Airways,TH8932,Mumbai,Doha,India,Qatar,Airbus A350-900,157,Insurance restriction — war zone
2026-03-08,Cathay Pacific,CA5896,Muscat,London,Oman,UK,Boeing 777-200LR,150,Government travel ban
2026-03-08,Emirates SkyCargo,EM9695,London,Muscat,UK,Oman,Airbus A340-600,226,Insurance restriction — war zone
2026-03-08,Air France,AI4399,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 737 MAX 8,366,Security risk — conflict zone
2026-03-08,Kuwait Airways,KU1816,Istanbul,Karachi,Turkey,Pakistan,Airbus A340-600,92,Government travel ban
2026-03-08,Gulf Air,GU9385,Los Angeles,Doha,USA,Qatar,Airbus A320neo,342,Government travel ban
2026-03-08,Cargolux,CA9464,Los Angeles,Doha,USA,Qatar,Airbus A321neo,380,Diplomatic advisory — do not fly
2026-03-08,Emirates SkyCargo,EM338,Beirut,Paris,Lebanon,France,Airbus A330-300,143,Airspace closure — NOTAM
2026-03-08,United Airlines,UN2629,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A330-300,370,Insurance restriction — war zone
2026-03-08,DHL Aviation,DH1920,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 777-200LR,378,Insurance restriction — war zone
2026-03-08,FedEx Express,FE1231,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,333,Airport closure — military activity
2026-03-08,Saudi Arabian Airlines,SA9751,Abu Dhabi,London,UAE,UK,Airbus A350-900,449,Crew safety — company policy
2026-03-08,DHL Aviation,DH7540,Tehran,Moscow,Iran,Russia,Boeing 777-300ER,321,Crew safety — company policy
2026-03-08,Emirates SkyCargo,EM8047,Riyadh,London,Saudi Arabia,UK,Boeing 787-9 Dreamliner,374,Diplomatic advisory — do not fly
2026-03-08,Kuwait Airways,KU8818,London,Muscat,UK,Oman,Airbus A380-800,386,Crew safety — company policy
2026-03-08,Kuwait Airways,KU6453,Dubai,Karachi,UAE,Pakistan,Airbus A380-800,281,Government travel ban
2026-03-09,Thai Airways,TH7751,Paris,Dubai,France,UAE,Boeing 787-9 Dreamliner,194,Crew safety — company policy
2026-03-09,Delta Air Lines,DE3360,Abu Dhabi,Sydney,UAE,Australia,Airbus A350-900,224,Government travel ban
2026-03-09,Malaysia Airlines,MA2076,Beirut,Paris,Lebanon,France,Boeing 787-10 Dreamliner,237,Crew safety — company policy
2026-03-09,IndiGo,IN3123,Paris,Beirut,France,Lebanon,Airbus A320neo,243,Airport closure — military activity
2026-03-09,Turkish Airlines,TU8752,Karachi,Istanbul,Pakistan,Turkey,Boeing 737 MAX 8,370,Diplomatic advisory — do not fly
2026-03-09,FedEx Express,FE1872,Sydney,Dubai,Australia,UAE,Boeing 737 MAX 8,221,Government travel ban
2026-03-09,Iran Air,IR4405,Delhi,Dubai,India,UAE,Boeing 737-800,181,Crew safety — company policy
2026-03-09,Lufthansa,LU7159,Frankfurt,Dubai,Germany,UAE,Airbus A330-300,130,Government travel ban
2026-03-09,Saudi Arabian Airlines,SA9961,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 777-200LR,209,Insurance restriction — war zone
2026-03-09,Cathay Pacific,CA4618,Kuwait City,Mumbai,Kuwait,India,Airbus A320neo,182,Government travel ban
2026-03-09,Turkish Airlines,TU9775,Kuwait City,London,Kuwait,UK,Airbus A330-300,163,Government travel ban
2026-03-09,Kuwait Airways,KU8820,Beirut,Paris,Lebanon,France,Boeing 737-800,327,Security risk — conflict zone
2026-03-09,Pakistan International Airlines,PA8245,Singapore,Dubai,Singapore,UAE,Boeing 737-800,150,Airspace closure — NOTAM
2026-03-09,Oman Air,OM7745,Dubai,Frankfurt,UAE,Germany,Boeing 787-10 Dreamliner,270,Insurance restriction — war zone
2026-03-09,Cargolux,CA6963,London,Singapore,UK,Singapore,Boeing 787-9 Dreamliner,141,Airport closure — military activity
2026-03-09,Malaysia Airlines,MA8563,Mumbai,Doha,India,Qatar,Boeing 787-10 Dreamliner,418,Insurance restriction — war zone
2026-03-09,Emirates,EM996,Dubai,Karachi,UAE,Pakistan,Boeing 777-300ER,446,Airspace closure — NOTAM
2026-03-09,Air Arabia,AI2711,Islamabad,Dubai,Pakistan,UAE,Boeing 787-9 Dreamliner,345,Airport closure — military activity
2026-03-09,flydubai,FL6867,Istanbul,Tehran,Turkey,Iran,Airbus A340-600,285,Fuel supply disruption
2026-03-09,Jazeera Airways,JA2668,Frankfurt,Dubai,Germany,UAE,Airbus A320neo,367,Crew safety — company policy
2026-03-09,IndiGo,IN9842,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A330-300,341,Crew safety — company policy
2026-03-09,Malaysia Airlines,MA5100,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737-800,281,Security risk — conflict zone
2026-03-09,IndiGo,IN3342,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,409,Diplomatic advisory — do not fly
2026-03-09,Saudi Arabian Airlines,SA4763,London,Muscat,UK,Oman,Airbus A321neo,281,Government travel ban
2026-03-09,Air India,AI7255,Dubai,Bahrain,UAE,Bahrain,Boeing 777-300ER,224,Government travel ban
2026-03-09,Ethiopian Airlines,ET995,Dubai,Karachi,UAE,Pakistan,Airbus A350-900,202,Diplomatic advisory — do not fly
2026-03-09,Air Arabia,AI7752,Dubai,Delhi,UAE,India,Airbus A340-600,92,Government travel ban
2026-03-09,FedEx Express,FE459,Doha,Lahore,Qatar,Pakistan,Airbus A380-800,243,Insurance restriction — war zone
2026-03-09,Ethiopian Airlines,ET8255,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 787-9 Dreamliner,137,Airspace closure — NOTAM
2026-03-09,Iran Air,IR2093,Beirut,Paris,Lebanon,France,Boeing 737-800,140,Crew safety — company policy
2026-03-09,Etihad Airways,ET2539,Dubai,Bahrain,UAE,Bahrain,Airbus A320neo,149,Fuel supply disruption
2026-03-09,Iran Air,IR4457,London,Kuwait City,UK,Kuwait,Airbus A321neo,450,Diplomatic advisory — do not fly
2026-03-09,Iran Air,IR8552,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,130,Diplomatic advisory — do not fly
2026-03-10,Turkish Airlines,TU5842,Doha,Paris,Qatar,France,Airbus A320neo,334,Insurance restriction — war zone
2026-03-10,Qatar Airways,QA6379,London,Bahrain,UK,Bahrain,Airbus A320neo,273,Insurance restriction — war zone
2026-03-10,Air Arabia,AI5899,Abu Dhabi,Washington,UAE,USA,Boeing 777-200LR,445,Fuel supply disruption
2026-03-10,Lufthansa,LU3159,Bahrain,Dubai,Bahrain,UAE,Boeing 787-9 Dreamliner,154,Airspace closure — NOTAM
2026-03-10,Qatar Airways,QA558,Kuwait City,Cairo,Kuwait,Egypt,Boeing 777-200LR,88,Airspace closure — NOTAM
2026-03-10,Iran Air,IR9376,Muscat,London,Oman,UK,Airbus A321neo,348,Security risk — conflict zone
2026-03-10,Mahan Air,MA9881,London,Muscat,UK,Oman,Boeing 787-9 Dreamliner,256,Security risk — conflict zone
2026-03-10,Mahan Air,MA9619,Paris,Doha,France,Qatar,Boeing 777-200LR,266,Airport closure — military activity
2026-03-10,Saudi Arabian Airlines,SA7216,Doha,Mumbai,Qatar,India,Boeing 737-800,363,Insurance restriction — war zone
2026-03-10,Etihad Airways,ET4210,Doha,Mumbai,Qatar,India,Airbus A350-900,189,Crew safety — company policy
2026-03-10,Emirates,EM5822,New York,Doha,USA,Qatar,Airbus A380-800,122,Diplomatic advisory — do not fly
2026-03-10,Singapore Airlines,SI6499,New York,Doha,USA,Qatar,Boeing 777-300ER,256,Insurance restriction — war zone
2026-03-10,Air Arabia,AI6763,Dubai,Istanbul,UAE,Turkey,Boeing 777-200LR,157,Insurance restriction — war zone
2026-03-10,Pakistan International Airlines,PA5343,Bahrain,London,Bahrain,UK,Boeing 737-800,307,Airport closure — military activity
2026-03-10,Lufthansa,LU7874,Los Angeles,Doha,USA,Qatar,Boeing 787-9 Dreamliner,410,Security risk — conflict zone
2026-03-10,Singapore Airlines,SI6649,Paris,Beirut,France,Lebanon,Airbus A340-600,168,Airspace closure — NOTAM
2026-03-10,Cargolux,CA6152,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 787-9 Dreamliner,364,Crew safety — company policy
2026-03-10,Qatar Airways,QA8471,Moscow,Tehran,Russia,Iran,Airbus A350-900,106,Airspace closure — NOTAM
2026-03-10,Jazeera Airways,JA4481,Washington,Abu Dhabi,USA,UAE,Boeing 737 MAX 8,354,Crew safety — company policy
2026-03-10,Etihad Airways,ET2553,Sydney,Dubai,Australia,UAE,Airbus A321neo,310,Fuel supply disruption
2026-03-10,Etihad Airways,ET7750,Bahrain,Dubai,Bahrain,UAE,Boeing 737 MAX 8,402,Airspace closure — NOTAM
2026-03-10,Cargolux,CA4418,Doha,Los Angeles,Qatar,USA,Airbus A321neo,424,Insurance restriction — war zone
2026-03-10,Air France,AI3186,Doha,London,Qatar,UK,Airbus A321neo,431,Government travel ban
2026-03-10,Lufthansa,LU2397,Paris,Beirut,France,Lebanon,Airbus A330-300,282,Airspace closure — NOTAM
2026-03-10,Oman Air,OM2707,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A321neo,337,Fuel supply disruption
2026-03-10,Iran Air,IR5420,London,Doha,UK,Qatar,Airbus A330-300,114,Diplomatic advisory — do not fly
2026-03-10,KLM,KL713,Abu Dhabi,Sydney,UAE,Australia,Airbus A340-600,398,Crew safety — company policy
2026-03-10,Ethiopian Airlines,ET4652,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 787-9 Dreamliner,248,Airport closure — military activity
2026-03-10,Oman Air,OM1342,Mumbai,Kuwait City,India,Kuwait,Boeing 777-200LR,404,Security risk — conflict zone
2026-03-10,DHL Aviation,DH3766,Dubai,Paris,UAE,France,Boeing 787-9 Dreamliner,309,Government travel ban
2026-03-10,Ethiopian Airlines,ET1238,Paris,Doha,France,Qatar,Boeing 737 MAX 8,284,Airspace closure — NOTAM
2026-03-10,Pakistan International Airlines,PA6406,London,Singapore,UK,Singapore,Boeing 737-800,187,Insurance restriction — war zone
2026-03-10,Emirates,EM5633,Dubai,Cairo,UAE,Egypt,Boeing 777-200LR,215,Crew safety — company policy
2026-03-10,FedEx Express,FE747,Dubai,Singapore,UAE,Singapore,Airbus A330-300,154,Fuel supply disruption
2026-03-10,Kuwait Airways,KU8684,Riyadh,London,Saudi Arabia,UK,Airbus A350-900,297,Security risk — conflict zone
2026-03-10,United Airlines,UN3224,Doha,London,Qatar,UK,Boeing 737 MAX 8,328,Government travel ban
2026-03-10,Etihad Airways,ET4338,London,Singapore,UK,Singapore,Airbus A320neo,81,Security risk — conflict zone
2026-03-10,Thai Airways,TH1591,Frankfurt,Dubai,Germany,UAE,Airbus A380-800,122,Insurance restriction — war zone
2026-03-10,Air France,AI3596,Paris,Beirut,France,Lebanon,Airbus A330-300,430,Airspace closure — NOTAM
2026-03-10,Iran Air,IR1751,Dubai,Mumbai,UAE,India,Airbus A340-600,139,Diplomatic advisory — do not fly
2026-03-10,FedEx Express,FE7093,London,Kuwait City,UK,Kuwait,Boeing 777-200LR,298,Fuel supply disruption
2026-03-11,Emirates,EM9701,Singapore,Dubai,Singapore,UAE,Airbus A340-600,437,Airport closure — military activity
2026-03-11,Iran Air,IR6917,Karachi,Dubai,Pakistan,UAE,Boeing 737 MAX 8,212,Security risk — conflict zone
2026-03-11,EgyptAir,EG4231,Dubai,Delhi,UAE,India,Airbus A330-300,344,Crew safety — company policy
2026-03-11,Air France,AI4650,New York,Doha,USA,Qatar,Airbus A320neo,161,Fuel supply disruption
2026-03-11,Thai Airways,TH5977,Frankfurt,Dubai,Germany,UAE,Boeing 787-10 Dreamliner,158,Diplomatic advisory — do not fly
2026-03-11,Gulf Air,GU3963,Paris,Dubai,France,UAE,Airbus A380-800,92,Fuel supply disruption
2026-03-11,Kuwait Airways,KU3301,Tehran,Beijing,Iran,China,Airbus A380-800,194,Security risk — conflict zone
2026-03-11,Mahan Air,MA9269,Doha,London,Qatar,UK,Airbus A350-900,263,Fuel supply disruption
2026-03-11,Oman Air,OM9935,Dubai,London,UAE,UK,Boeing 777-200LR,224,Airport closure — military activity
2026-03-11,Saudi Arabian Airlines,SA1714,Dubai,Frankfurt,UAE,Germany,Boeing 777-300ER,288,Insurance restriction — war zone
2026-03-11,Thai Airways,TH5157,Mumbai,Dubai,India,UAE,Airbus A380-800,91,Fuel supply disruption
2026-03-11,EgyptAir,EG5425,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,168,Security risk — conflict zone
2026-03-11,Oman Air,OM3657,Los Angeles,Doha,USA,Qatar,Boeing 737-800,247,Insurance restriction — war zone
2026-03-11,United Airlines,UN9935,London,Dubai,UK,UAE,Boeing 787-10 Dreamliner,331,Insurance restriction — war zone
2026-03-11,Air India,AI1765,Tehran,Moscow,Iran,Russia,Airbus A321neo,360,Airspace closure — NOTAM
2026-03-11,Air Arabia,AI2894,Riyadh,London,Saudi Arabia,UK,Airbus A321neo,345,Diplomatic advisory — do not fly
2026-03-11,Pakistan International Airlines,PA6422,Doha,Paris,Qatar,France,Airbus A350-900,424,Diplomatic advisory — do not fly
2026-03-11,IndiGo,IN1444,Dubai,Sydney,UAE,Australia,Airbus A380-800,171,Insurance restriction — war zone
2026-03-11,Mahan Air,MA2599,Karachi,Dubai,Pakistan,UAE,Boeing 777-300ER,282,Insurance restriction — war zone
2026-03-11,Qatar Airways,QA6567,Dubai,Istanbul,UAE,Turkey,Airbus A321neo,273,Fuel supply disruption
2026-03-11,Qatar Airways,QA6403,Los Angeles,Doha,USA,Qatar,Airbus A340-600,97,Fuel supply disruption
2026-03-11,KLM,KL5221,Karachi,Istanbul,Pakistan,Turkey,Boeing 777-200LR,101,Fuel supply disruption
2026-03-11,Cargolux,CA6728,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,436,Airport closure — military activity
2026-03-11,Singapore Airlines,SI8708,Mumbai,Doha,India,Qatar,Boeing 737 MAX 8,130,Airport closure — military activity
2026-03-11,flydubai,FL9113,Moscow,Tehran,Russia,Iran,Boeing 787-9 Dreamliner,151,Airspace closure — NOTAM
2026-03-11,Ethiopian Airlines,ET6196,Delhi,Istanbul,India,Turkey,Airbus A320neo,229,Crew safety — company policy
2026-03-11,United Airlines,UN1960,Singapore,Dubai,Singapore,UAE,Boeing 787-10 Dreamliner,410,Crew safety — company policy
2026-03-11,Ethiopian Airlines,ET6355,Istanbul,Dubai,Turkey,UAE,Airbus A320neo,120,Diplomatic advisory — do not fly
2026-03-11,Cathay Pacific,CA2343,Bahrain,London,Bahrain,UK,Boeing 737 MAX 8,250,Crew safety — company policy
2026-03-11,Jazeera Airways,JA7384,Tehran,Moscow,Iran,Russia,Boeing 787-9 Dreamliner,349,Airport closure — military activity
2026-03-11,Qatar Airways,QA3683,Doha,New York,Qatar,USA,Boeing 737 MAX 8,150,Insurance restriction — war zone
2026-03-11,FedEx Express,FE2734,Tehran,Istanbul,Iran,Turkey,Airbus A380-800,235,Government travel ban
2026-03-11,Etihad Airways,ET7542,Beijing,Tehran,China,Iran,Boeing 777-200LR,445,Security risk — conflict zone
